id	movie_id	movie_name	user_id	ctime	message
8935	7066	Агенты А.Н.К.Л.	67717	2015-08-25 23:21:02.687775+03	Красивый, эффектный экшен с юмором и прекрасным актерским составом. Смотреть строго в оригинале! Перевод хромает, как всегда
8933	7021	Синистер 2	67716	2015-08-25 23:13:36.449863+03	Первая часть намного интереснее и страшнее 
8930	6795	Ватиканские записи	4285	2015-08-25 22:37:16.195404+03	Концовка не ожиданая, с другой концов фильм тянул бы максимум на тройку
8929	7322	Кто я	4285	2015-08-25 22:35:40.362554+03	Интересная концовка, оставляющая место для размышлений, без неё фильм на тройку
8928	2484	Иллюзия обмана	4285	2015-08-25 22:33:03.043065+03	Отличный фильм, погружает в атмосферу обмана
8926	7066	Агенты А.Н.К.Л.	67712	2015-08-25 22:08:25.200889+03	Отличная комедия на шпионскую тему. Получили настоящее удовольствие от просмотра.
8923	5417	Безумный Макс: Дорога ярости	61792	2015-08-25 21:33:51.720085+03	Офигенный фильм) смотрел 5 раз)
8921	6619	Форсаж 7	44557	2015-08-25 19:11:16.650839+03	Классный фильм,сделано на совесть.Для тех у кого юность ассоциируется с первой частью фильма ,идти на эту обязательно стоит.Не пожалеете времени и тем более денег.
8919	7055	Вне/себя	66086	2015-08-25 18:44:59.77404+03	Крутой фильм!
8918	5435	Чем дальше в лес	21937	2015-08-25 17:45:35.747873+03	Красиво))
8917	7069	Фантастическая четверка	57435	2015-08-25 17:14:46.871274+03	Хрень редкостная!
8916	6999	Терминатор: Генезис	25242	2015-08-25 16:18:20.887751+03	На один разок
8915	7063	Миссия невыполнима: Племя изгоев	61025	2015-08-25 16:00:28.753058+03	Очень понравился
8914	5960	Мстители: Эра Альтрона	6161	2015-08-25 15:42:27.763278+03	Фильм супер!!!1! Обожаю "Вселенную Marvel"! 
8913	6336	Робот по имени Чаппи	6161	2015-08-25 15:40:56.191611+03	Довольно интересный фильм про наше будущее! Оч нравятся подобные картины! 
8912	3782	Интерстеллар	6161	2015-08-25 15:39:42.74228+03	Потрясающий фильм! 
8911	2861	Седьмой сын	42381	2015-08-25 15:25:59.72214+03	Фигня
8910	6855	Мир Юрского периода	61025	2015-08-25 15:19:11.14541+03	Супер фильм
8909	7066	Агенты А.Н.К.Л.	66220	2015-08-25 10:52:25.511371+03	Очень хороший фильм, режиссеры и сценаристы молодцы
8904	7069	Фантастическая четверка	7256	2015-08-24 22:51:27.258707+03	В прошлом снятые две части на много интересней. Долго раскачивались и вроде когда все начинается, опа и конец! 
8903	7323	Молодая кровь	15560	2015-08-24 21:03:41.933613+03	Французская ювинальная система слишком гуманная. Шутка)
8898	7066	Агенты А.Н.К.Л.	53315	2015-08-24 11:28:57.605911+03	Отличный фильм. Есть над чем посмеяться. Снят хорошо, не вычурно. В общем, можно посмотреть
8896	7056	Подарок	52967	2015-08-24 02:28:53.072881+03	Не самый ужасный фильм, но занудно
8895	6785	Переправа	52967	2015-08-24 02:28:16.674829+03	Очень интересный фильм, но абсолютно не соотвествует описанию
8891	7055	Вне/себя	41704	2015-08-23 21:54:54.864517+03	Не очень. 
8889	7066	Агенты А.Н.К.Л.	67551	2015-08-23 21:03:38.474039+03	Не могу оценить фильм, так как не досмотрел его до конца. Кинотеатр эвакуировали. 
8881	7069	Фантастическая четверка	42551	2015-08-23 16:54:48.402052+03	Это ужас
8880	7069	Фантастическая четверка	39821	2015-08-23 16:45:48.399669+03	Полная фигня, смотреть не стоит. 
8875	7063	Миссия невыполнима: Племя изгоев	29851	2015-08-23 15:11:44.057722+03	Игра актеров хорошая, режиссура хорошая, сценарий подвел. Четыре с легким минусом.  
8871	7382	МУЛЬТ в кино. Выпуск №12	60271	2015-08-23 11:14:42.572321+03	маша и медведь походу последняя серия
8868	7284	Иррациональный человек	12091	2015-08-23 02:36:04.674837+03	Глубокий фильм
8867	7069	Фантастическая четверка	67495	2015-08-23 02:20:44.669833+03	Хороший фильм) На твёрдую 4-ку с +)
8865	7021	Синистер 2	19875	2015-08-23 01:52:21.751366+03	Фильм неплох, но всё же ждали большего. Даже фирменная музычка появилась только в конце..:(
8862	7066	Агенты А.Н.К.Л.	25237	2015-08-23 00:59:54.220042+03	Кино от начала и до конца уморительное, захватывающее, стильное. И еще кое-что, наш Курякин уделал Соло как только можно было))) 
8859	7069	Фантастическая четверка	67475	2015-08-22 23:37:15.335847+03	Говно полное 
8857	7056	Подарок	21937	2015-08-22 22:49:56.470178+03	))
8849	7069	Фантастическая четверка	60065	2015-08-22 19:40:56.227536+03	фильм растенули !! не какого экшина !! герои все плаксивые ! ! не о чем !! 
8822	7069	Фантастическая четверка	36628	2015-08-21 23:25:44.664153+03	Ооооочень затянули начало и просто мгновенная развязка
8821	7069	Фантастическая четверка	24156	2015-08-21 23:11:50.538365+03	Ничего особенного. Значительно слабее чем другие фильмы по Марвел
8815	7069	Фантастическая четверка	67411	2015-08-21 21:14:39.819606+03	Полное г###о
8814	7066	Агенты А.Н.К.Л.	67409	2015-08-21 20:51:20.009834+03	Отличное атмосферное кино)
8812	7063	Миссия невыполнима: Племя изгоев	18552	2015-08-21 18:54:24.316647+03	Фильм - унылая дрянь. сцены погонь и т.п. действительно - единственное на что стоит смотреть, все остальное - скучно и вторично. Сколько можно уже... Том Круз хорошо отрабатывает свои миллионы, конечно.
8811	6999	Терминатор: Генезис	63088	2015-08-21 18:48:01.355061+03	Фильм отстой полнейший. Бред да и только. Весь фильм один треп. Лучше первых 3-х частей нет ничего.
8810	7041	Человек-муравей	63088	2015-08-21 18:47:13.443156+03	Фильм отличный. Всем советую.
8806	7056	Подарок	67166	2015-08-21 13:11:32.129455+03	Ожидали чего-то большего, разочаровал малость фильм. 
8805	7069	Фантастическая четверка	29418	2015-08-21 12:40:33.189121+03	Неплохой фильм. 100% будет продолжение 
8804	7280	Левша	29418	2015-08-21 12:39:54.889889+03	Очень понравился. Классика жанра
8803	6668	Миньоны	59710	2015-08-21 09:57:23.559908+03	Не смешно
8801	7069	Фантастическая четверка	56432	2015-08-20 23:49:39.614722+03	фикакашка
8793	7021	Синистер 2	7978	2015-08-20 19:01:27.415693+03	фильм чересчур предсказуемый
8790	7069	Фантастическая четверка	66882	2015-08-20 12:24:17.234078+03	Полна хрень вообще не о чем , зря потратил 2 часа (((
